Nâng cấp bắt đầu: 10:39:18_25-03-2022
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/lang/fr.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/lang/vi.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/plugins/specialchar/dialogs/specialchar.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/plugins/table/dialogs/table.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/plugins/tabletools/dialogs/tableCell.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/plugins/templates/dialogs/templates.css | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/plugins/templates/dialogs/templates.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/plugins/templates/templates/default.js | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog.css | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_ie.css | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_ie7.css | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_ie8.css | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_iequirks.css | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/skins/moono/editor.css | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_gecko.css | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_ie.css | SUCCESS
