Nâng cấp bắt đầu: 10:36:27_25-03-2022
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_ie.css | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_ie7.css | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_ie8.css | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_iequirks.css | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/editors/ckeditor/styles.js | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/admin.js | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/chart/Chart.bundle.min.js | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/chart/chart.esm.js | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/chart/chart.js | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/chart/chunks/helpers.segment.js | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/chart/helpers.esm.js | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/clipboard/clipboard.min.js | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/global.js | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/jquery/additional-methods.min.js | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/jquery/jquery.min.js | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/jquery/jquery.timeago.js | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/jquery/jquery.validate.min.js | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/language/en.js | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/language/fr.js | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/language/jquery.validator-fr.js | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/language/jquery.validator-vi.js | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/language/vi.js | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/debugger.js | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/findbarButton-next.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/findbarButton-previous.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/loading-dark.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/loading.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/secondaryToolbarButton-documentProperties.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/secondaryToolbarButton-firstPage.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/secondaryToolbarButton-handTool.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/secondaryToolbarButton-lastPage.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/secondaryToolbarButton-rotateCcw.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/secondaryToolbarButton-rotateCw.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/secondaryToolbarButton-scrollHorizontal.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/secondaryToolbarButton-scrollVertical.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/secondaryToolbarButton-scrollWrapped.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/secondaryToolbarButton-selectTool.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/secondaryToolbarButton-spreadEven.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/secondaryToolbarButton-spreadNone.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/secondaryToolbarButton-spreadOdd.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/shadow.png | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/toolbarButton-bookmark.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/toolbarButton-currentOutlineItem.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/toolbarButton-download.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/toolbarButton-menuArrow.svg | SUCCESS
10:36:36_25-03-2022 | 116.97.53.42 | Di chuyển file assets/js/pdf.js/images/toolbarButton-openFile.svg | SUCCESS
